IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,Code,,
CDC,Cedar City Regional Airport,Cedar City,UT,USA,37.70097,-113.09858,10918,44,Cedar City Regional
CDV,Merle K. (Mudhole) Smith Airport,Cordova,AK,USA,60.49183,-145.47765,10926,8,Merle K Mudhole Smith
CEC,Del Norte County Airport?(Jack McNamara Field),Crescent City,CA,USA,41.78016,-124.23653,10930,4,Del Norte International
CHA,Chattanooga Metropolitan Airport?(Lovell Field),Chattanooga,TN,USA,35.03527,-85.20379,10980,50,Lovell Field
CHO,Charlottesville-Albemarle Airport,Charlottesville,VA,USA,38.13864,-78.45286,10990,10,Charlottesville Albemarle
CHS,Charleston International Airport/Charleston AFB,Charleston,SC,USA,32.89865,-80.04051,10994,4,Charleston AFB/International
CID,The Eastern Iowa Airport,Cedar Rapids,IA,USA,41.88459,-91.71087,11003,9,The Eastern Iowa
CIU,Chippewa County International Airport,Sault Ste. Marie,MI,USA,46.25075,-84.47239,11013,10,Chippewa County International
CLD,McClellan-Palomar Airport,San Diego,CA,USA,33.12723,-117.27873,11041,28,McClellan-Palomar
CLE,Cleveland Hopkins International Airport,Cleveland,OH,USA,41.41089,-81.8494,11042,1,Cleveland-Hopkins International
CLL,Easterwood Airport,College Station,TX,USA,30.58859,-96.36382,11049,7,Easterwood
CLT,Charlotte Douglas International Airport,Charlotte,NC,USA,35.21401,-80.94313,11057,8,Charlotte Douglas International
CMH,Port Columbus International Airport,Columbus,OH,USA,39.99799,-82.89188,11066,9,Port Columbus International
CMI,University of Illinois - Willard Airport,Champaign/Urbana,IL,USA,40.03925,-88.27806,11067,1,University of Illinois Willard
CMX,Houghton County Memorial Airport,Hancock,MI,USA,47.16842,-88.48906,11076,9,Houghton County Memorial
CNY,Canyonlands Field,Moab,UT,USA,38.75496,-109.75484,11092,16,Canyonlands Field
COD,Yellowstone Regional Airport,Cody,WY,USA,44.52019,-109.0238,11097,5,Yellowstone Regional
COS,City of Colorado Springs Municipal Airport,Colorado Springs,CO,USA,38.80581,-104.70025,11109,12,City of Colorado Springs Municipal
COU,Columbia Regional Airport,Columbia,MO,USA,38.81809,-92.21963,11111,2,Columbia Regional
CPR,Natrona County International Airport,Casper,WY,USA,42.90836,-106.46447,11122,11,Natrona County International
CRP,Corpus Christi International Airport,Corpus Christi,TX,USA,27.77036,-97.50122,11140,18,Corpus Christi International
CRW,Yeager Airport,Charleston,WV,USA,38.37315,-81.59319,11146,6,Yeager
CSG,Columbus Metropolitan Airport,Columbus,GA,USA,32.51633,-84.93886,11150,4,Columbus Metropolitan
CVG,Cincinnati/Northern Kentucky International Airport,Covington,KY,USA,39.04614,-84.66217,11193,43,Cincinnati/Northern Kentucky International
CWA,Central Wisconsin Airport,Mosinee,WI,USA,44.77762,-89.66678,11203,10,Central Wisconsin
DAB,Daytona Beach International Airport,Daytona Beach,FL,USA,29.17992,-81.05806,11252,49,Daytona Beach International
DAL,Dallas Love Field,Dallas,TX,USA,32.84711,-96.85177,11259,7,Dallas Love Field
DAY,James M. Cox Dayton International Airport,Dayton,OH,USA,39.90238,-84.21938,11267,8,James M. Cox Dayton International
DBQ,Dubuque Regional Airport,Dubuque,IA,USA,42.40296,-90.70917,11274,7,Dubuque Regional
DCA,Ronald Reagan Washington National Airport,Arlington,VA,USA,38.85208,-77.03772,11278,4,Ronald Reagan Washington National
DEN,Denver International Airport,Denver,CO,USA,39.85841,-104.667,11292,14,Denver International
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372,11298,6,Dallas/Fort Worth International
DHN,Dothan Regional Airport,Dothan,AL,USA,31.32134,-85.44963,11308,10,Dothan Regional
DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,ND,USA,46.79739,-102.80195,11315,7,Dickinson Theodore Roosevelt Regional
DLG,Dillingham Airport,Dillingham,AK,USA,59.04541,-158.50334,11336,21,Dillingham
DLH,Duluth International Airport,Duluth,MN,USA,46.84209,-92.19365,11337,1,Duluth International
DRO,Durango-La Plata County Airport,Durango,CO,USA,37.15152,-107.75377,11413,76,Durango-La Plata County
DSM,Des Moines International Airport,Des Moines,IA,USA,41.53493,-93.66068,11423,10,Des Moines International
DTW,Detroit Metropolitan Airport,Detroit,MI,USA,42.21206,-83.34884,11433,9,Detroit Metropolitan
DVL,Devils Lake Regional Airport,Devils Lake,ND,USA,48.11425,-98.90878,11447,15,Devils Lake Regional
EAU,Chippewa Valley Regional Airport,Eau Claire,WI,USA,44.86526,-91.48507,11471,24,Chippewa Valley Regional
ECP,Northwest Florida Beaches International Airport,Panama City,FL,USA,,,11481,10,Northwest Florida Beaches International
EGE,Eagle County Regional Airport,Eagle,CO,USA,39.64257,-106.9177,11503,22,Eagle County Regional
EKO,Elko Regional Airport,Elko,NV,USA,40.82493,-115.7917,11525,22,Elko Regional
ELM,Elmira/Corning Regional Airport,Elmira,NY,USA,42.15991,-76.89144,11537,12,Elmira/Corning Regional
ELP,El Paso International Airport,El Paso,TX,USA,31.80667,-106.37781,11540,3,El Paso International
ERI,Erie International Airport,Erie,PA,USA,42.08202,-80.17622,11577,37,Erie International
ESC,Delta County Airport,Escanaba,MI,USA,45.72267,-87.09373,11587,10,Delta County
EUG,Eugene Airport?(Mahlon Sweet Field),Eugene,OR,USA,44.12326,-123.21869,11603,16,Eugene ?(Mahlon Sweet Field)
EVV,Evansville Regional Airport,Evansville,IN,USA,38.03799,-87.53063,11612,9,Evansville Regional
EWN,Coastal Carolina Regional Airport?(Craven County Regional),New Bern,NC,USA,35.07297,-77.04294,11617,5,Coastal Carolina Regional ?(Craven County Regional)
EWR,Newark Liberty International Airport,Newark,NJ,USA,40.6925,-74.16866,11618,1,Newark Liberty International
EYW,Key West International Airport,Key West,FL,USA,24.55611,-81.75956,11624,6,Key West International
FAI,Fairbanks International Airport,Fairbanks,AK,USA,64.81368,-147.85967,11630,6,Fairbanks International
FAR,Hector International Airport,Fargo,ND,USA,46.91935,-96.81499,11637,7,Hector International
FAT,Fresno Yosemite International Airport,Fresno,CA,USA,36.77619,-119.71814,11638,1,Fresno Yosemite International
FAY,Fayetteville Regional Airport,Fayetteville,NC,USA,34.99147,-78.88,11641,3,Fayetteville Regional
FCA,Glacier Park International Airport,Kalispell,MT,USA,48.3114,-114.25507,11648,7,Glacier Park International
FLG,Flagstaff Pulliam Airport,Flagstaff,AZ,USA,35.13845,-111.67122,11695,47,Flagstaff Pulliam
FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,USA,26.07258,-80.15275,11697,2,Fort Lauderdale-Hollywood International
