IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,Code,,
PSC,Tri-Cities Airport,Pasco,WA,USA,46.26468,-119.11903,14252,30,Tri-Cities
PSE,Mercedita Airport,Ponce,PR,USA,18.0083,-66.56301,14254,2,Mercedita
PSG,Petersburg James A. Johnson Airport,Petersburg,AK,USA,56.80165,-132.94528,14256,2,Petersburg James A. Johnson
PSP,Palm Springs International Airport,Palm Springs,CA,USA,33.82922,-116.50625,14262,6,Palm Springs International
PUB,Pueblo Memorial Airport,Pueblo,CO,USA,38.28909,-104.49657,14288,26,Pueblo Memorial
PVD,Theodore Francis Green State Airport,Providence,RI,USA,41.724,-71.42822,14307,19,Theodore Francis Green State
PWM,Portland International Jetport,Portland,ME,USA,43.64617,-70.30875,14321,14,Portland International Jetport
RAP,Rapid City Regional Airport,Rapid City,SD,USA,44.04532,-103.05737,14457,136,Rapid City Regional
RDD,Redding Municipal Airport,Redding,CA,USA,40.50898,-122.2934,14487,30,Redding Municipal
RDM,Redmond Municipal Airport?(Roberts Field),Redmond,OR,USA,44.25407,-121.14996,14489,2,Redmond Municipal ?(Roberts Field)
RDU,Raleigh-Durham International Airport,Raleigh,NC,USA,35.87764,-78.78747,14492,3,Raleigh-Durham International
RHI,Rhinelander-Oneida County Airport,Rhinelander,WI,USA,45.63119,-89.46745,14520,28,Rhinelander-Oneida County
RIC,Richmond International Airport,Richmond,VA,USA,37.50517,-77.31967,14524,4,Richmond International
RKS,Rock Springs-Sweetwater County Airport,Rock Springs,WY,USA,41.59422,-109.06519,14543,19,Rock Springs-Sweetwater County
RNO,Reno/Tahoe International Airport,Reno,NV,USA,39.49858,-119.76806,14570,27,Reno/Tahoe International
ROA,Roanoke Regional Airport?(Woodrum Field),Roanoke,VA,USA,37.32547,-79.97543,14574,4,Roanoke Regional ?(Woodrum Field)
ROC,Greater Rochester International Airport,Rochester,NY,USA,43.11887,-77.67238,14576,2,Greater Rochester International
ROW,Roswell International Air Center,Roswell,NM,USA,33.30156,-104.53056,14588,12,Roswell International Air Center
RST,Rochester International Airport,Rochester,MN,USA,43.90883,-92.49799,14633,45,Rochester International
RSW,Southwest Florida International Airport,Ft. Myers,FL,USA,26.53617,-81.75517,14635,2,Southwest Florida International
SAF,Santa Fe Municipal Airport,Santa Fe,NM,USA,35.61678,-106.08814,14674,39,Santa Fe Municipal
SAN,San Diego International Airport?(Lindbergh Field),San Diego,CA,USA,32.73356,-117.18966,14679,5,San Diego International ?(Lindbergh Field)
SAT,San Antonio International Airport,San Antonio,TX,USA,29.53369,-98.46978,14683,4,San Antonio International
SAV,Savannah/Hilton Head International Airport,Savannah,GA,USA,32.12758,-81.20214,14685,2,Savannah/Hilton Head International
SBA,Santa Barbara Municipal Airport?(Santa Barbara Airport),Santa Barbara,CA,USA,34.42621,-119.84037,14689,4,Santa Barbara Municipal ?(Santa Barbara )
SBN,South Bend International Airport?(South Bend Regional),South Bend,IN,USA,41.70895,-86.31847,14696,7,South Bend International ?(South Bend Regional)
SBP,San Luis Obispo County Regional Airport?(McChesney Field),San Luis Obispo,CA,USA,35.23706,-120.64239,14698,2,San Luis Obispo County Regional ?(McChesney Field)
SCC,Deadhorse Airport?(Prudhoe Bay Airport),Deadhorse,AK,USA,70.19476,-148.46516,14709,11,Deadhorse ?(Prudhoe Bay )
SCE,University Park Airport,State College,PA,USA,40.85121,-77.8463,14711,2,University Park
SDF,Louisville International Airport?(Standiford Field),Louisville,KY,USA,38.17439,-85.736,14730,19,Louisville International ?(Standiford Field)
SEA,Seattle-Tacoma International Airport,Seattle,WA,USA,47.44898,-122.30931,14747,17,Seattle-Tacoma International
SFO,San Francisco International Airport,San Francisco,CA,USA,37.619,-122.37484,14771,24,San Francisco International
SGF,Springfield-Branson National Airport,Springfield,MO,USA,37.24433,-93.38686,14783,12,Springfield-Branson National
SGU,St. George Regional Airport,St George,UT,USA,37.09058,-113.59306,14794,11,St. George Regional
SHV,Shreveport Regional Airport,Shreveport,LA,USA,32.44663,-93.8256,14814,20,Shreveport Regional
SIT,Sitka Rocky Gutierrez Airport,Sitka,AK,USA,57.04714,-135.3616,14828,14,Sitka Rocky Gutierrez
SJC,Norman Y. Mineta San Jos¨¦ International Airport,San Jose,CA,USA,37.36186,-121.92901,14831,3,Norman Y. Mineta San Jos¨¦ International
SJT,San Angelo Regional Airport?(Mathis Field),San Angelo,TX,USA,31.35775,-100.49631,14842,11,San Angelo Regional ?(Mathis Field)
SJU,Luis Mu?oz Mar¨ªn International Airport,San Juan,PR,USA,18.43942,-66.00183,14843,1,Luis Mu?oz Mar¨ªn International
SLC,Salt Lake City International Airport,Salt Lake City,UT,USA,40.78839,-111.97777,14869,26,Salt Lake City International
SMF,Sacramento International Airport,Sacramento,CA,USA,38.69542,-121.59077,14893,24,Sacramento International
SMX,Santa Maria Public Airport?(Capt G. Allan Hancock Field),Santa Maria,CA,USA,34.89925,-120.45758,14905,12,Santa Maria Public ?(Capt G. Allan Hancock Field)
SNA,John Wayne Airport?(Orange County Airport),Santa Ana,CA,USA,33.67566,-117.86822,14908,3,John Wayne ?(Orange County )
SPI,Abraham Lincoln Capital Airport,Springfield,IL,USA,39.84395,-89.67762,14952,44,Abraham Lincoln Capital
SPS,Wichita Falls Municipal Airport/Sheppard AFB,Wichita Falls,TX,USA,33.9888,-98.49189,14960,8,Wichita Falls Municipal /Sheppard AFB
SRQ,Sarasota-Bradenton International Airport,Sarasota,FL,USA,27.39533,-82.55411,14986,26,Sarasota-Bradenton International
STC,St. Cloud Regional Airport,St Cloud,MN,USA,45.54532,-94.05834,15008,22,St. Cloud Regional
STL,St. Louis International Airport at Lambert Field,St Louis,MO,USA,38.74769,-90.35999,15016,8,St. Louis International  at Lambert Field
STT,Cyril E. King Airport,Charlotte Amalie,VI,USA,18.33731,-64.97336,15024,8,Cyril E. King
STX,Henry E. Rohlsen Airport,Christiansted,VI,USA,17.70189,-64.79856,15027,3,Henry E. Rohlsen
SUN,Friedman Memorial Airport,Hailey,ID,USA,43.50484,-114.29659,15041,14,Friedman Memorial
SUX,Sioux Gateway Airport,Sioux City,IA,USA,42.4026,-96.38437,15048,7,Sioux Gateway
SWF,Stewart International Airport,Newburgh,NY,USA,41.50409,-74.10484,15070,22,Stewart International
SYR,Syracuse Hancock International Airport,Syracuse,NY,USA,43.11119,-76.10631,15096,26,Syracuse Hancock International
TLH,Tallahassee International Airport,Tallahassee,FL,USA,30.39653,-84.35033,15249,153,Tallahassee International
TOL,Toledo Express Airport,Toledo,OH,USA,41.58681,-83.80783,15295,46,Toledo Express
TPA,Tampa International Airport,Tampa,FL,USA,27.97547,-82.53325,15304,9,Tampa International
TRI,Tri-Cities Regional Airport,Bristol,TN,USA,36.47521,-82.40742,15323,19,Tri-Cities Regional
TTN,Trenton Mercer Airport,Trenton,NJ,USA,40.27669,-74.81347,15356,33,Trenton Mercer
TUL,Tulsa International Airport,Tulsa,OK,USA,36.19837,-95.88824,15370,14,Tulsa International
TUS,Tucson International Airport,Tucson,AZ,USA,32.11608,-110.94103,15376,6,Tucson International
TVC,Cherry Capital Airport,Traverse City,MI,USA,44.74144,-85.58224,15380,4,Cherry Capital
TWF,Magic Valley Regional Airport?(Joslin Field),Twin Falls,ID,USA,42.4818,-114.48774,15389,9,Magic Valley Regional ?(Joslin Field)
TXK,Texarkana Regional Airport?(Webb Field),Texarkana,AR,USA,33.45371,-93.99102,15401,12,Texarkana Regional ?(Webb Field)
TYR,Tyler Pounds Regional Airport,Tyler,TX,USA,32.35414,-95.40239,15411,10,Tyler Pounds Regional
TYS,McGhee Tyson Airport,Knoxville,TN,USA,35.81249,-83.99286,15412,1,McGhee Tyson
UST,Northeast Florida Regional Airport?(St. Augustine Airport),St. Augustine,FL,USA,,,15497,85,Northeast Florida Regional ?(St. Augustine )
VEL,Valdez Airport,Vernal,UT,USA,40.4409,-109.50992,15582,85,Valdez
VLD,Valdosta Regional Airport,Valdosta,GA,USA,30.7825,-83.27672,15607,25,Valdosta Regional
VPS,Destin-Fort Walton Beach Airport/Eglin AFB,Valparaiso,FL,USA,30.48325,-86.5254,15624,17,Destin-Fort Walton Beach /Eglin AFB
WRG,Wrangell Airport,Wrangell,AK,USA,56.48433,-132.36982,15841,217,Wrangell
WYS,Westerly State Airport,West Yellowstone,MT,USA,44.6884,-111.11764,15855,14,Westerly State
XNA,Northwest Arkansas Regional Airport,Fayetteville/Springdale/Rogers,AR,USA,36.28187,-94.30681,15919,64,Northwest Arkansas Regional
YAK,Yakutat Airport,Yakutat,AK,USA,59.50336,-139.66023,15991,72,Yakutat
YUM,Yuma International Airport,Yuma,AZ,USA,32.65658,-114.60597,16218,227,Yuma International
